;f_ticker;nf_ticker
198;GCO.MC;SAB.MC
199;ANA.MC;LOG.MC
200;FCC.MC;SCYR.MC
201;TRE.MC;ENO.MC
202;HM-B.ST;VOLV-B.ST
203;DKSH.SW;SCMN.SW
204;CFR.SW;GEBN.SW
205;BARN.SW;CCH.L
206;ROG.SW;NOVN.SW
207;SRAIL.SW;SFSN.SW
208;BUCN.SW;GF.SW
209;SUN.SW;DOKA.SW
210;STLN.SW;CLN.SW
211;2105.TW;8454.TW
212;2603.TW;2609.TW
213;1326.TW;2002.TW
214;CPALL.BK;CPAXT.BK
215;IVL.BK;PTTGC.BK
216;TCELL.IS;TTKOM.IS
217;AGHOL.IS;AEFES.IS
218;KCHOL.IS;TUPRS.IS
219;SAHOL.IS;ISMEN.IS
220;ABF.L;KGF.L
221;FRAS.L;TW.L
222;SDR.L;ADM.L
223;CMCSA;T
224;PARA;WBD
225;FOX;OMC
226;WMG;EDR
227;TDS;LILA
228;SBGI;IHRT
229;MTCH;GDDY
230;F;GM
231;NKE;MCD
232;LEN;DHI
233;LAD;AN
234;MAR;AZO
235;GAP;THO
236;DKS;CAR
237;QRTEA;CVNA
238;SKX;TPR
239;DDS;VSCO
240;RL;GME
241;LEVI;HOG
242;UAA;HAS
243;LVS;YUM
244;COLM;BYD
245;WMT;COST
246;TSN;PFGC
247;EL;MO
248;HRL;K
249;SEB;CASY
250;TAP;CAG
251;HSY;KDP
252;STZ;MNST
253;CPB;SJM
254;COKE;POST
255;IMKTA;HLF
256;COTY;FLO
257;WMK;PSMT
258;BF-B;MKC
259;EPD;OXY
260;BRK-B;JPM
261;IEP;L
262;BEN;AFG
263;MCY;NAVI
264;ERIE;NLY
265;UHS;HSIC
266;BIO;TFX
267;PCAR;CMI
268;RSG;EMR
269;KNX;RHI
270;SNDR;APG
271;UHAL;SNA
272;HUBG;SAVE
273;KELYA;YELLQ
274;MSM;FLS
275;HY;TPC
276;WLK;RS
277;DELL;HPQ
278;ORCL;QCOM
279;AMKR;SAIC
280;VSH;VYX
281;VIC;VHM.VN
282;NTES;UMG.AS
283;QBR-B.TO;9684.T
284;1929.HK;LKQ
285;GEST.MC;0921.HK
286;DLG.MI;6923.T
287;BMW.DE;JD
288;SHA.DE;ARCLK.IS
289;FALABELLA.SN;0489.HK
290;DIE.BR;ENT.L
291;PAG;0656.HK
292;UHR.SW;BBWI
293;SAVE.PA;SOKM.IS
294;603288.SS;000568.SZ
295;CPF.BK;PPC
296;CHDRAUIB.MX;SHP
297;GREEN.BR;KER.WA
298;UNBL.PA;MFI.TO
299;MRFG3.SA;139480.KS
300;WN.TO;SBRY.L
301;SON.LS;007070.KS
302;FDP;SAE.TA
303;BUD;ULVR.L
304;COLR.BR;600361.SS
305;SAP.TO;0322.HK
306;JMT.LS;COL.AX
307;GRUMAB.MX;PPH
308;AC.MX;2802.T
309;LOUP.PA;8273.T
310;6505.TW;600438.SS
311;GALP.LS;DCC.L
312;ELPE.AT;TOP.BK
313;HAL.AS;ABN.AS
314;UCB.BR;HOLX
315;IPN.PA;JAZZ
316;AUROPHARMA.NS;ENSG
317;CIPLA.NS;BRKR
318;GRFS;OGN
319;002203.SZ;0636.HK
320;PSG.MC;PRIM
321;WOR;1951.T
322;SWDY.CA;020560.KS
323;ERF.PA;6645.T
324;EGL.LS;KIE.L
325;000150.KS;000626.SZ
326;BZU.MI;CBT
327;ESRS.CA;1733.HK
328;ORBIA.MX;ACX.MC
329;SCC.BK;000708.SZ
330;PLZL.ME;JHX.AX
331;CX;BERY
332;1303.TW;UPM.HE
333;ICHB.MX;LUN.TO
334;1301.TW;002460.SZ
335;OERL.SW;ORA.AX
336;NK.PA;688778.SS
337;PE&OLES.MX;600348.SS
338;6158.HK;OPAD
339;0012.HK;SUI
340;ELCO.TA;0119.HK
341;1233.HK;8848.T
342;ECONB.BR;4915.TW
343;1184.HK;2392.TW
344;WIT;KLAC
345;0003.HK;CMS
