Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
BHARTIARTL.BO,1664.4,2024/10/25,15:29 IST,-15.799927,1685.8,1685.8,1655.75,275398,,,,,,,
BHARTIARTL.NS,1666.0,2024/10/25,15:29 IST,-12.449951,1681.1,1684.75,1655.85,3433687,,,,,,,
STAA.JK,915.0,2024/10/25,16:00 WIB,0.0,915.0,915.0,905.0,15109500,,,,,,,
GEE.VN,33500.0,2024/10/25,14:17 ICT,0.0,33500.0,33600.0,33500.0,6600,,,,,,,
BP-B.L,154.5,2024/10/25,13:50 BST,-0.5500946,156.6999,161.0,154.0,563,,,,,,,
GRUPOAVAL.CL,428.0,2024/10/24,10:10 EDT,3.0,0.0,0.0,0.0,0,,,,,,,
BAYER.BD,10500.0,2024/10/24,15:20 CEST,0.0,10500.0,10500.0,10500.0,23,,,,,,,
323410.KS,21650.0,2024/10/25,15:30 KST,0.0,21650.0,21950.0,21400.0,411060,,,,,,,
BJBR.JK,980.0,2024/10/25,16:14 WIB,-5.0,985.0,985.0,980.0,1912500,,,,,,,
UNH.MX,11254.0,2024/10/24,10:18 CST,0.0,11255.0,11254.0,11254.0,83,,,,,,,
T1LK34.SA,52.6,2024/10/24,16:29 BRT,0.0,0.0,52.6,52.6,0,,,,,,,
SQM-A.SN,35900.0,2024/10/25,09:41 CLST,-22.0,35900.0,35900.0,35900.0,39,,,,,,,
TCH.VN,15600.0,2024/10/25,14:45 ICT,-150.0,15700.0,15800.0,15500.0,3642100,,,,,,,
VCG.VN,17700.0,2024/10/25,14:45 ICT,-250.0,17950.0,18050.0,17700.0,2792200,,,,,,,
XOM.MX,2372.0,2024/10/24,13:22 CST,0.0,2372.0,2372.0,2372.0,19,,,,,,,
CEMARGOS.CL,7960.0,2024/10/24,16:00 EDT,340.0,0.0,0.0,0.0,0,,,,,,,
086520.KQ,78200.0,2024/10/25,15:30 KST,200.0,80700.0,81200.0,77800.0,518879,,,,,,,
8766.T,5445.0,2024/10/25,15:15 JST,-70.0,5457.0,5526.0,5398.0,3625600,,,,,,,
SQM-B.SN,38347.0,2024/10/25,09:39 CLST,244.0,38103.0,38593.0,38103.0,1966,,,,,,,
GGB.BA,14850.0,2024/10/24,16:57 ART,-25.0,14925.0,14925.0,14675.0,224,,,,,,,
8035.T,23220.0,2024/10/25,15:15 JST,195.0,23055.0,23360.0,23020.0,3311000,,,,,,,
SMRA.JK,620.0,2024/10/25,16:14 WIB,-20.0,640.0,650.0,620.0,92265400,,,,,,,
BSI.VN,47000.0,2024/10/25,14:45 ICT,-550.0,47550.0,47850.0,47000.0,344700,,,,,,,
8001.T,7459.0,2024/10/25,15:15 JST,-95.0,7470.0,7538.0,7421.0,2266100,,,,,,,
RISE.JK,990.0,2024/10/25,16:00 WIB,0.0,990.0,990.0,935.0,150900,,,,,,,
030200.KS,44200.0,2024/10/25,15:30 KST,400.0,44100.0,44200.0,43250.0,670316,,,,,,,
V.MX,5600.0,2024/10/24,09:52 CST,0.0,5628.12,5600.0,5600.0,85,,,,,,,
000100.KS,147400.0,2024/10/25,15:30 KST,-1600.0,149500.0,151800.0,146300.0,1410732,,,,,,,
HAG.VN,10150.0,2024/10/25,14:45 ICT,-400.0,10600.0,10600.0,10150.0,12734100,,,,,,,
BMP.VN,132800.0,2024/10/25,14:45 ICT,-200.0,132300.0,133100.0,129800.0,175600,,,,,,,
018260.KS,141900.0,2024/10/25,15:30 KST,-3300.0,146600.0,146700.0,141600.0,82746,,,,,,,
VTP.VN,90500.0,2024/10/25,14:45 ICT,3700.0,87000.0,90500.0,86900.0,2220500,,,,,,,
BP-A.L,146.35,2024/10/25,13:50 BST,-3.149994,146.01,152.0,146.0,7554,,,,,,,
IMP.JO,11981.0,2024/10/25,15:06 SAST,-52.0,11954.0,12085.0,11660.0,3205578,,,,,,,
8058.T,2765.5,2024/10/25,15:15 JST,-22.0,2769.0,2791.0,2748.0,6256600,,,,,,,
096770.KS,114400.0,2024/10/25,15:30 KST,-900.0,117200.0,117200.0,113800.0,146624,,,,,,,
ADMF.JK,11075.0,2024/10/25,16:13 WIB,25.0,11100.0,11100.0,11025.0,15100,,,,,,,
03473K.KS,121500.0,2024/10/25,15:30 KST,100.0,121500.0,122500.0,120600.0,2050,,,,,,,
BHPL.XC,2172.0,2024/10/25,14:21 BST,27.0,2161.0,2174.0,2151.0,134863,,,,,,,
000105.KS,133800.0,2024/10/25,15:30 KST,4600.0,130700.0,137500.0,126500.0,54630,,,,,,,
LVMH01.BK,14.3,2024/10/25,16:25 ICT,0.0,14.5,14.6,14.3,294492,,,,,,,
ABMM.JK,4030.0,2024/10/25,16:11 WIB,-30.0,4070.0,4070.0,4030.0,1052000,,,,,,,
AMZO34.SA,53.43,2024/10/25,10:06 BRT,0.5400009,53.52,53.6,53.43,4650,,,,,,,
INPP.JK,995.0,2024/10/25,16:01 WIB,-70.0,1070.0,1070.0,950.0,234300,,,,,,,
096775.KS,77100.0,2024/10/25,15:30 KST,-200.0,77600.0,79700.0,77100.0,1773,,,,,,,
POWR.JK,705.0,2024/10/25,16:00 WIB,0.0,705.0,705.0,695.0,2498100,,,,,,,
BHP.L,2172.0,2024/10/25,14:05 BST,25.0,2148.0,2173.0,2148.0,245789,,,,,,,
SSMS.JK,1155.0,2024/10/25,16:11 WIB,15.0,1140.0,1165.0,1140.0,8393900,,,,,,,
CITA.JK,2850.0,2024/10/25,16:02 WIB,50.0,2800.0,2850.0,2800.0,7300,,,,,,,
4519.T,6869.0,2024/10/25,15:15 JST,-73.0,6870.0,6880.0,6777.0,1295500,,,,,,,
GOGL34.SA,77.56,2024/10/25,10:06 BRT,0.7999954,77.54,77.69,77.44,32187,,,,,,,
KIO.JO,33689.0,2024/10/25,15:06 SAST,29.0,33651.0,33710.0,32927.0,222841,,,,,,,
SMSM.JK,1970.0,2024/10/25,16:02 WIB,-10.0,1965.0,1980.0,1945.0,1716800,,,,,,,
4063.T,5760.0,2024/10/25,15:15 JST,-30.0,5730.0,5778.0,5677.0,5004000,,,,,,,
GOGL35.SA,78.82,2024/10/25,10:01 BRT,0.7900009,78.82,78.82,78.82,4,,,,,,,
SMAR.JK,4010.0,2024/10/25,16:00 WIB,30.0,3980.0,4060.0,3980.0,59700,,,,,,,
LGC.VN,60000.0,2024/10/25,13:42 ICT,-2000.0,60000.0,60000.0,60000.0,200,,,,,,,
BBKP.JK,61.0,2024/10/25,16:14 WIB,0.0,62.0,63.0,60.0,178449200,,,,,,,
YPFD.BA,29775.0,2024/10/24,17:11 ART,975.0,29100.0,29950.0,28550.0,440260,,,,,,,
KFH.KW,705.0,2024/10/24,12:44 AST,-3.0,708.0,708.0,705.0,11653455,,,,,,,
024110.KS,14720.0,2024/10/25,15:30 KST,270.0,14450.0,14900.0,14440.0,1632249,,,,,,,
BSSR.JK,4450.0,2024/10/25,16:08 WIB,-50.0,4500.0,4500.0,4430.0,883600,,,,,,,
CHILE.SN,116.43,2024/10/25,09:40 CLST,-0.25,116.43,116.44,116.43,73322,,,,,,,
ULVR.L,4756.0,2024/10/25,14:06 BST,-34.0,4787.0,4791.0,4744.56,617471,,,,,,,
ULVRL.XC,4762.0,2024/10/25,14:21 BST,-31.0,4794.0,4794.0,4745.0,244058,,,,,,,
003550.KS,75400.0,2024/10/25,15:30 KST,-600.0,76000.0,76100.0,74900.0,112880,,,,,,,
003555.KS,59500.0,2024/10/25,15:30 KST,-200.0,59500.0,59700.0,59300.0,2770,,,,,,,
VSH.VN,50300.0,2024/10/25,14:45 ICT,200.0,50100.0,50300.0,50000.0,27600,,,,,,,
DSY.JO,17698.0,2024/10/25,15:06 SAST,48.0,17691.0,17793.0,17540.0,518132,,,,,,,
AUTO.JK,2510.0,2024/10/25,16:13 WIB,-60.0,2570.0,2590.0,2470.0,5393200,,,,,,,
8316.T,3103.0,2024/10/25,15:15 JST,-12.0,3099.0,3117.0,3072.0,9537800,,,,,,,
033780.KS,111600.0,2024/10/25,15:30 KST,2300.0,108800.0,111600.0,108700.0,173220,,,,,,,
9432.T,145.4,2024/10/25,15:15 JST,-0.5,145.9,146.1,144.9,117503100,,,,,,,
DXG.VN,16600.0,2024/10/25,14:45 ICT,350.0,16200.0,16900.0,16150.0,30438400,,,,,,,
017670.KS,57500.0,2024/10/25,15:30 KST,200.0,57700.0,57800.0,57300.0,469558,,,,,,,
AEG.BA,7570.0,2024/10/24,16:57 ART,-30.0,7640.0,7640.0,7550.0,25,,,,,,,
BANK.JK,840.0,2024/10/25,16:00 WIB,-5.0,845.0,845.0,835.0,4297300,,,,,,,
TSPC.JK,2750.0,2024/10/25,16:13 WIB,-90.0,2840.0,2850.0,2750.0,3329700,,,,,,,
267260.KS,345000.0,2024/10/25,15:30 KST,3000.0,347000.0,368500.0,327000.0,901484,,,,,,,
HSBA.L,686.0,2024/10/25,14:06 BST,4.200012,682.8,687.4,682.3,4713272,,,,,,,
HSBAL.XC,686.6,2024/10/25,14:21 BST,5.799988,684.3,687.4,682.3,1332316,,,,,,,
HSG.VN,20300.0,2024/10/25,14:45 ICT,-200.0,20500.0,20700.0,20300.0,5669300,,,,,,,
DSNG.JK,1140.0,2024/10/25,16:06 WIB,20.0,1120.0,1150.0,1100.0,33793200,,,,,,,
MSFT.WA,1690.0,2024/10/22,15:39 CEST,0.0,1690.0,1690.0,1690.0,1,,,,,,,
316140.KS,17080.0,2024/10/25,15:30 KST,430.0,16700.0,17100.0,16660.0,6127970,,,,,,,
MNP.JO,28732.0,2024/10/25,15:06 SAST,-26.0,28657.0,28754.0,28372.0,306908,,,,,,,
FTS.VN,40850.0,2024/10/25,14:45 ICT,250.0,41000.0,41150.0,40850.0,1302000,,,,,,,
9984.T,8751.0,2024/10/25,15:15 JST,-41.0,8720.0,8782.0,8661.0,5573400,,,,,,,
APIC.JK,1065.0,2024/10/25,16:00 WIB,0.0,1065.0,1065.0,1045.0,1856400,,,,,,,
DIG.VN,21050.0,2024/10/25,14:45 ICT,400.0,20900.0,21300.0,20700.0,10121700,,,,,,,
402340.KS,95500.0,2024/10/25,15:30 KST,5500.0,90000.0,96200.0,90000.0,672191,,,,,,,
AALI.JK,6775.0,2024/10/25,16:07 WIB,-125.0,6950.0,6950.0,6775.0,1282600,,,,,,,
034020.KS,20600.0,2024/10/25,15:30 KST,-250.0,20850.0,21300.0,20550.0,4764600,,,,,,,
GRUPOSURA.CL,33220.0,2024/10/24,16:00 EDT,-260.0,0.0,0.0,0.0,0,,,,,,,
BHI.CL,305.0,2024/10/23,15:04 EDT,0.0,0.0,0.0,0.0,0,,,,,,,
WMT.MX,1648.0,2024/10/24,13:53 CST,0.0,1651.58,1648.0,1648.0,463,,,,,,,
HDFCBANK.BO,1742.6,2024/10/25,15:57 IST,-7.5,1757.0,1758.35,1729.0,774016,,,,,,,
HDFCBANK.NS,1743.4,2024/10/25,15:29 IST,-6.25,1755.0,1757.85,1729.15,13064490,,,,,,,
DPM.VN,34050.0,2024/10/25,14:45 ICT,0.0,34200.0,34450.0,34050.0,921800,,,,,,,
PFGRUPSURA.CL,22320.0,2024/10/24,16:00 EDT,40.0,0.0,0.0,0.0,0,,,,,,,
FREN.JK,28.0,2024/10/25,16:14 WIB,1.0,27.0,28.0,27.0,44759300,,,,,,,
HAR.JO,20315.0,2024/10/25,15:05 SAST,-155.0,20690.0,20690.0,20180.0,497424,,,,,,,
6098.T,9058.0,2024/10/25,15:15 JST,-223.0,9166.0,9200.0,9000.0,2974300,,,,,,,
FASW.JK,5500.0,2024/10/25,14:55 WIB,0.0,5500.0,5500.0,5500.0,600,,,,,,,
DHG.VN,104500.0,2024/10/25,14:45 ICT,-500.0,105000.0,105100.0,104100.0,10700,,,,,,,
NVDA.WA,565.5,2024/10/25,14:15 CEST,2.2999878,569.7,569.7,565.5,75,,,,,,,
EON.BD,5214.0,2024/10/24,09:08 CEST,0.0,5214.0,5214.0,5214.0,49,,,,,,,
BUKA.JK,135.0,2024/10/25,16:14 WIB,-5.0,141.0,141.0,135.0,345624800,,,,,,,
NED.JO,29322.0,2024/10/25,15:06 SAST,-530.0,29849.0,29921.0,29237.0,395861,,,,,,,
MLBI.JK,6650.0,2024/10/25,16:00 WIB,-225.0,6900.0,6975.0,6600.0,289200,,,,,,,
009540.KS,199900.0,2024/10/25,15:30 KST,4100.0,196700.0,199800.0,195400.0,349326,,,,,,,
PVD.VN,25650.0,2024/10/25,14:45 ICT,-250.0,26150.0,26150.0,25600.0,3371800,,,,,,,
ABG.JO,16755.0,2024/10/25,15:06 SAST,-98.0,16816.0,16989.0,16751.0,376062,,,,,,,
CTR.VN,126600.0,2024/10/25,14:45 ICT,0.0,127000.0,127500.0,126300.0,1532600,,,,,,,
BMAS.JK,805.0,2024/10/25,14:19 WIB,5.0,780.0,805.0,780.0,11200,,,,,,,
